ticker,secShortName,outstanding,totals
300045,华力创通,3.67,6.16
300046,台基股份,2.13,2.13
300047,天源迪科,2.83,3.99
300048,合康新能,9.76,11.27
300049,福瑞股份,2.28,2.63
300050,世纪鼎利,3.69,5.56
300051,三五互联,2.45,3.67
300052,中青宝,2.6,2.65
300053,欧比特,4.94,7.02
300054,鼎龙股份,6.84,9.61
300055,万邦达,8.64,8.65
300056,三维丝,2.37,3.85
300057,万顺股份,2.92,4.4
300058,蓝色光标,16.62,21.82
300059,东方财富,41.53,51.68
300061,康旗股份,2.6,6.85
300062,中能电气,1.89,3.08
300063,天龙集团,4.11,7.26
300064,豫金刚石,6.06,12.05
300065,海兰信,2.71,3.59
300066,三川智慧,9.96,10.4
300067,安诺其,4.32,7.2
300068,南都电源,6.0,8.78
300069,金利华电,0.92,1.17
300070,碧水源,20.16,31.51
300071,华谊嘉信,4.17,6.78
300072,三聚环保,18.01,23.51
300073,当升科技,3.33,4.37
300074,华平股份,4.72,5.42
300075,数字政通,3.05,4.24
300076,GQY视讯,3.82,4.24
300077,国民技术,5.41,5.58
300078,思创医惠,4.87,8.08
300079,数码科技,12.09,14.34
300080,易成新能,5.02,5.03
300081,恒信东方,3.16,5.3
300082,奥克股份,6.75,6.82
300083,劲胜智能,11.89,14.32
300084,海默科技,3.03,3.85
300085,银之杰,4.14,7.07
300086,康芝药业,4.36,4.5
300087,荃银高科,3.52,4.3
300088,长信科技,22.62,22.99
300089,文化长城,2.77,4.81
300090,盛运环保,8.77,13.2
300091,金通灵,4.07,6.16
300092,科新机电,1.67,2.35
300093,金刚玻璃,2.15,2.16
